-----------------------------------------------


>>>>>  Point log (Build Dec 29 2010 14:30:40)  <<<<<
[20170920 20:06:59] PointBuyItem timeout: user='DarkSidePT' pt=0 cr=0 ret=3
[20171117 21:33:32] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:32] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:35] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:35] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:35] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:38] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:39] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:40] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:40] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:50] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
[20171117 21:33:56] PointBuyItem timeout: user='Fuleragem' pt=0 cr=0 ret=3
